,sum_exp,sum,dif,dif_low,diff_up,rr,rr_low,rr_up,pvalue,region,period,sum_exp,sum,dif,dif_low,diff_up,rr,rr_low,rr_up,pvalue,region,2
1,20340604.81,13408000,-6932604.81,-9505900.85,-4641938.374,0.661694873,0.585147013,0.742828186,0,Anhui,1,20340604.8,13408000,-6932605,-9505901,-4641938,0.66,0.59,0.74,0,Anhui,1
9,24971508.54,7856000,-17115508.54,-18688378.62,-15582455.64,0.314930778,0.295957203,0.335175667,0,Beijing,1,24971508.5,7856000,-17115509,-18688379,-15582456,0.31,0.30,0.34,0,Beijing,1
17,13631231.18,7781000,-5850231.182,-6477482.471,-5270189.176,0.571118352,0.545710255,0.596190883,0,Chongqing,1,13631231.2,7781000,-5850231,-6477483,-5270189,0.57,0.55,0.60,0,Chongqing,1
25,16618185.52,10449000,-6169185.521,-7144151.984,-5268672.996,0.629286962,0.593924273,0.664793065,0,Fujian,1,16618185.5,10449000,-6169186,-7144152,-5268673,0.63,0.59,0.66,0,Fujian,1
33,8983209.846,6014000,-2969209.846,-3441576.051,-2501913.576,0.669963008,0.636026824,0.706207296,0,Gansu,1,8983209.85,6014000,-2969210,-3441576,-2501914,0.67,0.64,0.71,0,Gansu,1
41,63527418,32620000,-30907418,-33281692.7,-28569108.53,0.513671041,0.494979699,0.53310141,0,Guangdong,1,63527418,32620000,-30907418,-33281693,-28569109,0.51,0.49,0.53,0,Guangdong,1
49,18702675.52,11090000,-7612675.523,-8334885.177,-6974846.653,0.593166541,0.570917148,0.613899482,0,Guangxi,1,18702675.5,11090000,-7612676,-8334885,-6974847,0.59,0.57,0.61,0,Guangxi,1
57,14014123.46,8624000,-5390123.461,-5960391.713,-4836760.301,0.615659712,0.591317086,0.640677038,0,Guizhou,1,14014123.5,8624000,-5390124,-5960392,-4836760,0.62,0.59,0.64,0,Guizhou,1
65,3813434.936,1990000,-1823434.936,-2079720.63,-1594013.425,0.522443596,0.488977056,0.555243456,0,Hainan,1,3813434.94,1990000,-1823435,-2079721,-1594013,0.52,0.49,0.56,0,Hainan,1
73,26721844.69,15872000,-10849844.69,-12577770.65,-9136126.949,0.594565121,0.557895535,0.63467369,0,Hebei,1,26721844.7,15872000,-10849845,-12577771,-9136127,0.59,0.56,0.63,0,Hebei,1
81,11965993.64,4398000,-7567993.638,-8219117.993,-6993727.452,0.367780284,0.348574057,0.38606963,0,Heilongjiang,1,11965993.6,4398000,-7567994,-8219118,-6993728,0.37,0.35,0.39,0,Heilongjiang,1
89,39061817.38,21820000,-17241817.38,-18432392.15,-16107211.04,0.558736851,0.542079584,0.575312538,0,Henan,1,39061817.4,21820000,-17241817,-18432392,-16107211,0.56,0.54,0.58,0,Henan,1
97,24563844.09,7722000,-16841844.09,-18829918.88,-14885276.22,0.314885264,0.290826438,0.341571445,0,Hubei,1,24563844.1,7722000,-16841844,-18829919,-14885276,0.31,0.29,0.34,0,Hubei,1
105,20090490.3,10720000,-9370490.298,-10278701.63,-8486536.435,0.533867436,0.510507759,0.558143321,0,Hunan,1,20090490.3,10720000,-9370490,-10278702,-8486536,0.53,0.51,0.56,0,Hunan,1
113,10146160.19,5177000,-4969160.194,-5487271.637,-4471146.405,0.51056618,0.485452756,0.536579755,0,Inner Mongolia,1,10146160.2,5177000,-4969160,-5487272,-4471146,0.51,0.49,0.54,0,Inner Mongolia,1
121,42790884.47,24517000,-18273884.47,-20756574.26,-15981247.79,0.573400063,0.541530043,0.605384216,0,Jiangsu,1,42790884.5,24517000,-18273884,-20756574,-15981248,0.57,0.54,0.61,0,Jiangsu,1
129,14283339,8255000,-6028339.001,-6854195.396,-5252883.384,0.578426869,0.546356031,0.611124624,0,Jiangxi,1,14283339,8255000,-6028339,-6854195,-5252883,0.58,0.55,0.61,0,Jiangxi,1
137,9977275.051,5145000,-4832275.051,-5327825.627,-4382481.78,0.515975383,0.491271428,0.540016781,0,Jilin,1,9977275.05,5145000,-4832275,-5327826,-4382482,0.52,0.49,0.54,0,Jilin,1
145,18530961.54,9708000,-8822961.537,-9741423.429,-8055504.545,0.524152857,0.499140761,0.546513832,0,Liaoning,1,18530961.5,9708000,-8822962,-9741423,-8055505,0.52,0.50,0.55,0,Liaoning,1
153,3802899.313,2112000,-1690899.313,-1906212.896,-1487242.667,0.555800485,0.525606818,0.586790111,0,Ningxia,1,3802899.31,2112000,-1690899,-1906213,-1487243,0.56,0.53,0.59,0,Ningxia,1
161,2339777.555,1812000,-527777.5554,-761035.8611,-309816.3024,0.776344839,0.704226562,0.853985333,0,Qinghai,1,2339777.56,1812000,-527778,-761036,-309816,0.78,0.70,0.85,0,Qinghai,1
169,17645439.44,8785000,-8860439.438,-9520122.898,-8240313.577,0.498026717,0.479920298,0.51599637,0,Shaanxi,1,17645439.4,8785000,-8860439,-9520123,-8240314,0.50,0.48,0.52,0,Shaanxi,1
