region,period,period_name,out,out_exp,ratio_out,inp,inp_exp,ratio_in
Taiwan,1,Feb 2020 to Mar 2020: Wave 1 peak,,,,,,
Beijing,1,Feb 2020 to Mar 2020: Wave 1 peak,785.6,2490.964499,0.315379846,16.4,63.25175688,0.259281336
Tianjin,1,Feb 2020 to Mar 2020: Wave 1 peak,490.8,1115.264857,0.440074837,10.8,26.53876993,0.406951793
Hebei,1,Feb 2020 to Mar 2020: Wave 1 peak,1587.2,2760.970296,0.574870364,100.8,191.3016101,0.526916631
Shanxi,1,Feb 2020 to Mar 2020: Wave 1 peak,683,1273.926421,0.536137715,42.4,88.20739522,0.48068532
Neimenggu,1,Feb 2020 to Mar 2020: Wave 1 peak,517.7,1010.371436,0.512385823,28.8,69.87569019,0.412160508
Liaoning,1,Feb 2020 to Mar 2020: Wave 1 peak,970.8,1844.353759,0.526363229,60.6,125.3928802,0.483281028
Jilin,1,Feb 2020 to Mar 2020: Wave 1 peak,514.5,971.8444249,0.529405723,33.5,66.27563016,0.505464828
Heilongjiang,1,Feb 2020 to Mar 2020: Wave 1 peak,439.8,1195.572833,0.367857137,31.8,100.1045599,0.317667847
Shanghai,1,Feb 2020 to Mar 2020: Wave 1 peak,1225,3014.751137,0.406335364,31.4,75.97227107,0.413308692
Jiangsu,1,Feb 2020 to Mar 2020: Wave 1 peak,2451.7,4433.956343,0.552937334,120.2,198.4579714,0.605669801
Zhejiang,1,Feb 2020 to Mar 2020: Wave 1 peak,2525.7,5212.301131,0.48456525,95,166.9978132,0.568869725
Anhui,1,Feb 2020 to Mar 2020: Wave 1 peak,1340.8,2164.71702,0.619388117,91,160.5087321,0.566947348
Fujian,1,Feb 2020 to Mar 2020: Wave 1 peak,1044.9,1725.694229,0.605495448,55.2,79.05854177,0.698216774
Jiangxi,1,Feb 2020 to Mar 2020: Wave 1 peak,825.5,1390.494207,0.593673814,66.5,108.4278676,0.613310964
Shandong,1,Feb 2020 to Mar 2020: Wave 1 peak,2384.5,4521.04765,0.527422001,154.2,282.4511542,0.545935103
Henan,1,Feb 2020 to Mar 2020: Wave 1 peak,2182,3814.442672,0.572036386,157.1,279.4698862,0.5621357
Hubei,1,Feb 2020 to Mar 2020: Wave 1 peak,772.2,2548.826762,0.302962921,52.2,168.4213435,0.309936965
Hunan,1,Feb 2020 to Mar 2020: Wave 1 peak,1072,1983.43629,0.540476145,114.3,191.9177709,0.595567568
Guangdong,1,Feb 2020 to Mar 2020: Wave 1 peak,3262,6337.76004,0.514692885,133.7,239.9765304,0.557137816
Guangxi,1,Feb 2020 to Mar 2020: Wave 1 peak,1109,1902.712988,0.582851963,76.7,109.1635733,0.70261533
Hainan,1,Feb 2020 to Mar 2020: Wave 1 peak,199,383.453606,0.518967606,11.2,18.50154463,0.605354862
Chongqing,1,Feb 2020 to Mar 2020: Wave 1 peak,778.1,1363.97817,0.570463675,51.5,94.20506214,0.546679752
Sichuan,1,Feb 2020 to Mar 2020: Wave 1 peak,2310.4,3871.8479,0.596717655,151.5,248.1059081,0.61062633
