,sum_exp,sum,dif,dif_low,diff_up,rr,rr_low,rr_up,pvalue,region,period
1,1467210.907,910000,-557210.907,-701663.9359,-421089.0766,0.619681046,0.564633849,0.683650716,0,Anhui,1
9,624000.421,164000,-460000.421,-473717.7639,-446252.4502,0.262906523,0.25716706,0.26874124,0,Beijing,1
17,916981.9932,515000,-401981.9932,-431828.8452,-372181.2917,0.561909496,0.543920905,0.580490152,0,Chongqing,1
25,752388.5792,552000,-200388.5792,-246818.678,-156894.0906,0.734546142,0.691020397,0.778677678,0,Fujian,1
33,700268.0376,436000,-264268.0376,-318201.5073,-216399.4469,0.623194552,0.578094841,0.668302225,0,Gansu,1
41,2360041.857,1337000,-1023041.857,-1094883.458,-954697.9791,0.566416823,0.549779641,0.583410214,0,Guangdong,1
49,1102217.572,767000,-335217.5723,-366433.0536,-303507.866,0.695671022,0.676705164,0.716482363,0,Guangxi,1
57,1188813.353,810000,-378813.3527,-438079.3895,-325847.1194,0.682099702,0.648997212,0.71312414,0,Guizhou,1
65,182575.0081,112000,-70575.00805,-80248.25624,-61609.86004,0.613555756,0.582580057,0.64512465,0,Hainan,1
73,1742187.051,1008000,-734187.0512,-886255.3135,-594706.2299,0.579542671,0.532135237,0.628936221,0,Hebei,1
81,976919.1038,318000,-658919.1038,-688965.0962,-629533.164,0.325479055,0.31580042,0.335608308,0,Heilongjiang,1
89,2797184.077,1571000,-1226184.077,-1340223.262,-1119643.674,0.561685538,0.5396357,0.583875158,0,Henan,1
97,1606996.84,522000,-1084996.84,-1194993.086,-981144.9375,0.324597516,0.304019862,0.347271904,0,Hubei,1
105,1916155.679,1143000,-773155.6788,-847308.3109,-701585.9768,0.596473576,0.57428289,0.61965125,0,Hunan,1
113,651573.8706,288000,-363573.8706,-408205.9053,-319685.8123,0.442379802,0.413670726,0.473929121,0,Inner Mongolia,1
121,1926995.944,1202000,-724995.9444,-878924.0881,-571254.2446,0.623777209,0.577628012,0.67784979,0,Jiangsu,1
129,1090570.391,665000,-425570.3911,-481514.0422,-375561.0051,0.610120197,0.580019067,0.639078354,0,Jiangxi,1
137,660180.6515,335000,-325180.6515,-341937.6919,-308996.2664,0.507515191,0.49487568,0.520189356,0,Jilin,1
145,1181808.931,606000,-575808.9311,-642280.3761,-510202.0923,0.512965344,0.485467858,0.542912445,0,Liaoning,1
153,201254.7362,101000,-100254.7362,-117088.1638,-83873.9387,0.50192669,0.463115459,0.546318214,0,Ningxia,1
161,171062.103,124000,-47062.103,-65016.12425,-30404.54213,0.726389502,0.656028995,0.803085201,0,Qinghai,1
